num_corre,ano_ocu,dia_ocu,hora_ocu,g_hora,g_hora_5,mes_ocu,dia_sem_ocu,depto_ocu,mupio_ocu,zona_ocu,sexo_per,edad_per,g_edad_80ymas,g_edad_60ymas,edad_quinquenales,mayor_menor,tipo_veh,marca_veh,color_veh,modelo_veh,g_modelo_veh,tipo_eve,fall_les,int_o_noint,anio
18,2020,1,9,2,1,1,3,10,1014,99,1,22,3,3,5,1,4,18,5,9999,99,2,2,1,2020
19,2020,1,2,1,1,1,3,11,1106,99,2,15,2,2,4,2,4,999,2,9999,99,4,1,2,2020
20,2020,1,2,1,1,1,3,9,903,99,1,23,3,3,5,1,4,64,5,9999,99,1,2,1,2020
21,2020,1,17,3,2,1,3,16,1613,99,1,34,5,5,7,1,4,6,1,2008,4,1,2,1,2020
22,2020,1,17,3,2,1,3,16,1613,99,1,26,4,4,6,1,4,6,1,2008,4,1,2,1,2020
23,2020,1,0,1,1,1,3,18,1801,99,1,20,3,3,5,1,4,999,99,9999,99,1,1,2,2020
24,2020,1,0,1,1,1,3,18,1801,99,2,21,3,3,5,1,4,999,99,9999,99,1,2,1,2020
25,2020,1,9,2,1,1,3,14,1416,99,2,28,4,4,6,1,3,69,1,9999,99,3,2,1,2020
26,2020,1,9,2,1,1,3,14,1416,99,1,6,1,1,2,2,3,69,1,9999,99,3,2,1,2020
27,2020,1,9,2,1,1,3,14,1416,99,1,6,1,1,2,2,3,69,1,9999,99,3,2,1,2020
28,2020,1,9,2,1,1,3,14,1416,99,1,6,1,1,2,2,3,69,1,9999,99,3,2,1,2020
29,2020,1,9,2,1,1,3,14,1416,99,1,19,2,2,4,1,3,69,1,9999,99,3,2,1,2020
30,2020,1,9,2,1,1,3,14,1416,99,1,14,1,1,3,2,3,69,1,9999,99,3,2,1,2020
31,2020,1,9,2,1,1,3,14,1416,99,2,50,9,9,11,1,3,69,1,9999,99,3,2,1,2020
32,2020,1,9,2,1,1,3,14,1416,99,2,32,5,5,7,1,3,69,1,9999,99,3,2,1,2020
33,2020,1,9,2,1,1,3,14,1416,99,2,14,1,1,3,2,3,69,1,9999,99,3,2,1,2020
34,2020,1,9,2,1,1,3,14,1416,99,2,18,2,2,4,1,3,69,1,9999,99,3,2,1,2020
35,2020,1,9,2,1,1,3,14,1416,99,1,5,1,1,2,2,3,69,1,9999,99,3,2,1,2020
36,2020,1,9,2,1,1,3,14,1416,99,1,16,2,2,4,2,3,69,1,9999,99,3,2,1,2020
37,2020,1,9,2,1,1,3,14,1416,99,1,999,16,12,18,1,3,69,1,9999,99,3,2,1,2020
38,2020,1,9,2,1,1,3,14,1416,99,2,16,2,2,4,2,3,69,1,9999,99,3,2,1,2020
39,2020,1,9,2,1,1,3,14,1416,99,2,23,3,3,5,1,3,69,1,9999,99,3,2,1,2020
40,2020,1,9,2,1,1,3,14,1416,99,2,17,2,2,4,2,3,69,1,9999,99,3,2,1,2020
41,2020,1,9,2,1,1,3,14,1416,99,2,999,16,12,18,1,3,69,1,9999,99,3,2,1,2020
42,2020,1,9,2,1,1,3,14,1416,99,1,13,1,1,3,2,3,69,1,9999,99,3,2,1,2020
43,2020,1,20,4,3,1,3,4,406,99,1,60,11,11,13,1,18,999,99,9999,99,1,1,2,2020
44,2020,2,11,2,1,1,4,19,1903,99,2,46,8,8,10,1,3,56,1,1989,2,1,2,1,2020
45,2020,2,19,4,3,1,4,3,301,99,2,59,10,10,12,1,2,52,4,2017,5,8,2,1,2020
46,2020,2,17,3,2,1,4,1,103,99,1,21,3,3,5,1,4,67,1,2006,4,1,2,1,2020
47,2020,3,15,3,2,1,5,1,101,1,1,58,10,10,12,1,4,6,15,2020,6,1,2,1,2020
48,2020,3,21,4,3,1,5,1,101,6,1,21,3,3,5,1,4,76,1,9999,99,1,2,1,2020
49,2020,3,13,3,2,1,5,1,101,6,1,38,6,6,8,1,4,999,99,9999,99,1,2,1,2020
50,2020,3,2,1,1,1,5,1,108,99,1,30,5,5,7,1,4,3,5,2018,5,1,2,1,2020
51,2020,3,20,4,3,1,5,1,108,99,1,31,5,5,7,1,4,6,99,9999,99,1,2,1,2020
52,2020,3,23,4,3,1,5,1,101,19,1,40,7,7,9,1,4,6,5,9999,99,6,2,1,2020
53,2020,3,17,3,2,1,5,15,1501,99,1,58,10,10,12,1,3,999,99,9999,99,1,2,1,2020
54,2020,3,17,3,2,1,5,15,1501,99,1,21,3,3,5,1,4,999,99,9999,99,1,2,1,2020
55,2020,3,17,3,2,1,5,15,1501,99,1,999,16,12,18,1,4,999,99,9999,99,1,2,1,2020
56,2020,4,23,4,3,1,6,1,101,5,1,999,16,12,18,1,4,6,5,2019,5,1,2,1,2020
57,2020,4,23,4,3,1,6,1,101,5,1,999,16,12,18,1,4,6,5,2019,5,1,2,1,2020
58,2020,4,5,1,1,1,6,10,1001,99,2,23,3,3,5,1,4,6,1,9999,99,1,2,1,2020
59,2020,4,5,1,1,1,6,10,1001,99,2,22,3,3,5,1,4,6,1,9999,99,1,2,1,2020
60,2020,4,15,3,2,1,6,11,1102,99,1,41,7,7,9,1,4,32,1,2019,5,1,2,1,2020
61,2020,4,15,3,2,1,6,11,1102,99,1,22,3,3,5,1,4,3,5,2007,4,1,2,1,2020
62,2020,4,15,3,2,1,6,11,1102,99,2,999,16,12,18,1,4,32,1,2019,5,1,2,1,2020
63,2020,4,16,3,2,1,6,13,1301,99,1,16,2,2,4,2,4,54,3,9999,99,1,2,1,2020
64,2020,4,18,4,3,1,6,15,1501,99,1,39,6,6,8,1,4,67,99,9999,99,1,2,1,2020
65,2020,4,12,3,2,1,6,4,401,99,1,55,10,10,12,1,3,69,2,1980,2,1,2,1,2020
66,2020,4,12,3,2,1,6,4,401,99,2,44,7,7,9,1,3,69,2,1980,2,1,2,1,2020
67,2020,5,8,2,1,1,7,1,101,7,1,26,4,4,6,1,4,32,99,9999,99,1,2,1,2020
68,2020,5,20,4,3,1,7,20,2001,99,1,36,6,6,8,1,4,6,5,9999,99,2,2,1,2020
69,2020,5,20,4,3,1,7,9,901,99,1,17,2,2,4,2,3,999,99,9999,99,1,2,1,2020
70,2020,5,3,1,1,1,7,18,1801,99,1,19,2,2,4,1,4,999,99,9999,99,1,1,2,2020
71,2020,5,15,3,2,1,7,17,1709,99,1,999,16,12,18,1,4,67,3,9999,99,1,1,2,2020
72,2020,5,19,4,3,1,7,14,1413,99,2,26,4,4,6,1,4,6,1,9999,99,1,2,1,2020
73,2020,5,19,4,3,1,7,14,1413,99,2,2,1,1,1,2,4,6,1,9999,99,1,2,1,2020
74,2020,6,20,4,3,1,1,1,101,8,1,45,8,8,10,1,4,27,5,2010,5,1,2,1,2020
75,2020,6,1,1,1,1,1,1,108,99,1,36,6,6,8,1,3,17,4,9999,99,2,2,1,2020
76,2020,6,21,4,3,1,1,6,601,99,1,20,3,3,5,1,4,25,5,9999,99,1,2,1,2020
77,2020,6,19,4,3,1,1,16,1602,99,1,23,3,3,5,1,4,76,99,9999,99,1,2,1,2020
78,2020,6,19,4,3,1,1,16,1602,99,1,23,3,3,5,1,4,76,99,9999,99,1,2,1,2020
79,2020,6,16,3,2,1,1,2,208,99,1,999,16,12,18,1,4,999,5,9999,99,1,2,1,2020
80,2020,6,16,3,2,1,1,2,208,99,2,36,6,6,8,1,4,999,5,9999,99,1,2,1,2020
81,2020,6,23,4,3,1,1,4,416,99,1,25,4,4,6,1,4,6,5,2019,5,1,2,1,2020
82,2020,6,23,4,3,1,1,4,416,99,2,20,3,3,5,1,4,6,5,2019,5,1,2,1,2020
83,2020,6,19,4,3,1,1,3,303,99,1,47,8,8,10,1,4,76,5,9999,99,1,2,1,2020
84,2020,7,7,2,1,1,2,1,101,1,1,25,4,4,6,1,4,6,5,9999,99,1,2,1,2020
85,2020,7,7,2,1,1,2,1,101,12,2,36,6,6,8,1,4,999,5,9999,99,1,2,1,2020
86,2020,7,19,4,3,1,2,1,115,99,1,24,3,3,5,1,18,999,99,9999,99,1,2,1,2020
87,2020,7,1,1,1,1,2,1,108,99,1,26,4,4,6,1,4,67,5,9999,99,1,2,1,2020
88,2020,7,21,4,3,1,2,1,108,99,1,38,6,6,8,1,4,999,99,9999,99,4,1,2,2020
89,2020,7,22,4,3,1,2,12,1222,99,1,23,3,3,5,1,14,6,1,9999,99,1,2,2,2020
90,2020,8,15,3,2,1,3,1,101,1,1,99,15,11,17,1,1,48,2,1985,2,1,2,1,2020
91,2020,8,5,1,1,1,3,1,101,18,1,23,3,3,5,1,4,67,5,9999,99,1,2,1,2020
92,2020,8,9,2,1,1,3,1,101,7,1,22,3,3,5,1,4,6,5,9999,99,4,2,1,2020
93,2020,8,20,4,3,1,3,1,110,99,1,20,3,3,5,1,4,2,5,2019,5,1,2,1,2020
94,2020,8,9,2,1,1,3,21,2101,99,1,40,7,7,9,1,4,77,1,9999,99,1,2,1,2020
95,2020,8,9,2,1,1,3,21,2101,99,1,10,1,1,3,2,4,77,1,9999,99,1,1,2,2020
96,2020,8,9,2,1,1,3,21,2101,99,2,9,1,1,2,2,4,77,1,9999,99,1,2,1,2020
97,2020,8,9,2,1,1,3,5,508,99,1,33,5,5,7,1,3,999,9,9999,99,1,1,2,2020
98,2020,8,9,2,1,1,3,5,508,99,1,22,3,3,5,1,3,999,9,9999,99,1,1,2,2020
99,2020,8,17,3,2,1,3,9,901,99,1,31,5,5,7,1,4,67,5,2014,5,2,2,1,2020
100,2020,8,14,3,2,1,3,2,201,99,1,54,9,9,11,1,3,69,4,1994,3,1,1,2,2020
101,2020,8,14,3,2,1,3,2,201,99,1,17,2,2,4,2,3,69,4,1994,3,1,2,1,2020
102,2020,8,14,3,2,1,3,2,201,99,2,17,2,2,4,2,3,69,4,1994,3,1,2,1,2020
103,2020,8,14,3,2,1,3,2,201,99,2,0,1,1,1,2,3,69,4,1994,3,1,2,1,2020
104,2020,8,14,3,2,1,3,2,201,99,2,29,4,4,6,1,3,69,4,1994,3,1,2,1,2020
105,2020,8,14,3,2,1,3,2,201,99,1,26,4,4,6,1,3,69,4,1994,3,1,2,1,2020
106,2020,8,14,3,2,1,3,2,201,99,2,48,8,8,10,1,3,69,4,1994,3,1,2,1,2020
107,2020,8,19,4,3,1,3,3,312,99,2,29,4,4,6,1,1,48,99,9999,99,2,2,1,2020
108,2020,9,8,2,1,1,4,1,101,1,1,30,5,5,7,1,4,2,1,2015,5,1,2,1,2020
109,2020,9,23,4,3,1,4,1,101,1,1,28,4,4,6,1,4,6,4,2015,5,1,2,1,2020
110,2020,9,16,3,2,1,4,1,101,6,2,999,16,12,18,1,4,32,5,2012,5,1,2,2,2020
111,2020,9,16,3,2,1,4,1,101,6,2,0,1,1,1,2,4,32,5,2012,5,1,2,1,2020
112,2020,9,21,4,3,1,4,1,102,99,1,999,16,12,18,1,5,17,14,9999,99,1,2,1,2020
113,2020,9,21,4,3,1,4,1,102,99,2,39,6,6,8,1,2,52,99,9999,99,1,2,1,2020
114,2020,9,21,4,3,1,4,1,102,99,2,49,8,8,10,1,2,52,99,9999,99,1,2,1,2020
115,2020,9,21,4,3,1,4,1,102,99,1,3,1,1,1,2,2,52,99,9999,99,1,2,1,2020
116,2020,9,7,2,1,1,4,1,115,99,2,24,3,3,5,1,4,2,4,2019,5,1,2,2,2020
117,2020,9,13,3,2,1,4,5,502,99,1,18,2,2,4,1,4,67,3,2018,5,1,2,2,2020
118,2020,9,20,4,3,1,4,5,501,99,1,30,5,5,7,1,4,999,99,9999,99,1,1,2,2020
119,2020,9,1,1,1,1,4,9,901,99,1,16,2,2,4,2,1,27,14,1997,3,1,2,1,2020
120,2020,9,9,2,1,1,4,13,1326,99,1,26,4,4,6,1,14,6,1,9999,99,7,2,1,2020
121,2020,9,9,2,1,1,4,13,1326,99,1,14,1,1,3,2,14,6,1,9999,99,7,2,1,2020
122,2020,9,1,1,1,1,4,1,101,10,1,31,5,5,7,1,1,999,99,9999,99,2,2,2,2020
123,2020,9,20,4,3,1,4,4,406,99,1,42,7,7,9,1,1,999,4,9999,99,2,2,2,2020
124,2020,10,22,4,3,1,5,1,101,12,1,34,5,5,7,1,4,999,99,9999,99,2,2,1,2020
125,2020,10,7,2,1,1,5,1,115,99,1,34,5,5,7,1,4,27,4,9999,99,2,2,1,2020
126,2020,10,18,4,3,1,5,1,115,99,1,999,16,12,18,1,4,39,3,9999,99,1,2,1,2020
127,2020,10,23,4,3,1,5,1,116,99,1,30,5,5,7,1,4,6,5,9999,99,1,2,1,2020
128,2020,10,11,2,1,1,5,20,2001,99,1,43,7,7,9,1,3,52,4,2005,4,1,2,2,2020
129,2020,10,11,2,1,1,5,20,2001,99,2,22,3,3,5,1,4,67,5,2018,5,1,2,2,2020
130,2020,10,7,2,1,1,5,5,502,99,1,18,2,2,4,1,4,999,1,9999,99,1,2,1,2020
131,2020,10,22,4,3,1,5,5,509,99,1,19,2,2,4,1,4,100,8,9999,99,1,1,2,2020
132,2020,10,20,4,3,1,5,12,1229,99,2,999,16,12,18,1,2,27,2,9999,99,1,2,1,2020
133,2020,10,20,4,3,1,5,12,1229,99,1,999,16,12,18,1,3,69,5,9999,99,1,2,1,2020
134,2020,10,22,4,3,1,5,15,1501,99,1,18,2,2,4,1,4,76,2,9999,99,1,2,1,2020
135,2020,10,22,4,3,1,5,15,1501,99,2,24,3,3,5,1,4,76,3,9999,99,1,2,1,2020
136,2020,10,22,4,3,1,5,15,1501,99,1,16,2,2,4,2,4,76,3,9999,99,1,2,2,2020
137,2020,10,19,4,3,1,5,18,1803,99,1,21,3,3,5,1,4,27,5,9999,99,4,1,2,2020
138,2020,10,19,4,3,1,5,18,1803,99,1,17,2,2,4,2,99,999,99,9999,99,3,2,1,2020
139,2020,10,20,4,3,1,5,3,308,99,1,18,2,2,4,1,4,25,99,9999,99,1,2,1,2020
140,2020,10,20,4,3,1,5,3,308,99,2,30,5,5,7,1,4,25,99,9999,99,1,2,1,2020
141,2020,11,7,2,1,1,6,1,117,99,1,49,8,8,10,1,4,18,99,9999,99,1,2,1,2020
142,2020,11,8,2,1,1,6,5,502,99,1,28,4,4,6,1,4,67,5,2017,5,1,2,1,2020
143,2020,11,8,2,1,1,6,5,502,99,2,23,3,3,5,1,4,6,5,2016,5,1,2,1,2020
144,2020,11,14,3,2,1,6,19,1904,99,1,40,7,7,9,1,4,67,5,9999,99,1,1,2,2020
145,2020,11,13,3,2,1,6,15,1507,99,1,35,6,6,8,1,1,69,4,1999,3,1,2,1,2020
146,2020,11,13,3,2,1,6,15,1507,99,1,68,12,11,14,1,7,28,99,2002,4,1,2,1,2020
147,2020,11,21,4,3,1,6,15,1501,99,2,19,2,2,4,1,4,67,3,9999,99,1,2,1,2020
148,2020,11,19,4,3,1,6,18,1804,99,1,40,7,7,9,1,4,18,99,9999,99,1,2,1,2020
149,2020,11,7,2,1,1,6,1,114,99,1,19,2,2,4,1,4,6,2,2018,5,1,2,1,2020
150,2020,11,15,3,2,1,6,1,101,1,1,32,5,5,7,1,11,999,2,9999,99,1,2,1,2020
151,2020,11,15,3,2,1,6,1,101,1,2,63,11,11,13,1,11,999,2,9999,99,1,2,1,2020
152,2020,11,15,3,2,1,6,1,101,1,2,25,4,4,6,1,11,999,2,9999,99,1,2,1,2020
153,2020,11,15,3,2,1,6,1,101,1,1,999,16,12,18,1,3,10,3,2013,5,1,2,1,2020
154,2020,11,19,4,3,1,6,1,110,99,1,22,3,3,5,1,4,54,3,9999,99,6,1,2,2020
155,2020,11,22,4,3,1,6,2,203,99,2,22,3,3,5,1,4,27,1,9999,99,1,2,1,2020
156,2020,11,22,4,3,1,6,2,203,99,2,23,3,3,5,1,4,67,4,9999,99,1,2,1,2020
157,2020,12,17,3,2,1,7,1,101,1,1,24,3,3,5,1,4,27,5,9999,99,1,2,1,2020
158,2020,12,20,4,3,1,7,1,107,99,1,23,3,3,5,1,4,32,7,2007,4,1,1,2,2020
159,2020,12,20,4,3,1,7,1,107,99,2,14,1,1,3,2,4,32,7,2007,4,1,2,1,2020
160,2020,12,1,1,1,1,7,1,115,99,1,23,3,3,5,1,4,18,5,2019,5,1,2,2,2020
161,2020,12,6,2,1,1,7,1,115,99,1,35,6,6,8,1,4,6,5,9999,99,1,2,1,2020
162,2020,12,1,1,1,1,7,1,115,99,1,999,16,12,18,1,4,999,99,9999,99,6,2,1,2020
163,2020,12,22,4,3,1,7,1,115,99,1,32,5,5,7,1,4,5,5,9999,99,1,2,1,2020
164,2020,12,22,4,3,1,7,1,115,99,1,26,4,4,6,1,4,999,99,9999,99,2,2,1,2020
165,2020,12,1,1,1,1,7,22,2201,99,2,44,7,7,9,1,3,56,7,9999,99,3,2,1,2020
166,2020,12,1,1,1,1,7,22,2201,99,2,45,8,8,10,1,3,56,7,9999,99,3,2,2,2020
167,2020,12,1,1,1,1,7,22,2201,99,1,36,6,6,8,1,3,56,7,9999,99,3,2,2,2020
168,2020,12,1,1,1,1,7,22,2201,99,2,20,3,3,5,1,3,56,7,9999,99,3,2,2,2020
169,2020,12,19,4,3,1,7,19,1901,99,1,24,3,3,5,1,4,67,5,2016,5,6,2,1,2020
170,2020,12,15,3,2,1,7,5,509,99,1,22,3,3,5,1,4,103,2,9999,99,1,1,2,2020
171,2020,12,20,4,3,1,7,5,509,99,2,18,2,2,4,1,4,190,5,9999,99,1,2,1,2020
172,2020,12,20,4,3,1,7,5,509,99,1,19,2,2,4,1,4,67,5,9999,99,1,2,1,2020
173,2020,12,4,1,1,1,7,6,608,99,1,999,16,12,18,1,4,999,5,9999,99,1,1,2,2020
174,2020,12,19,4,3,1,7,10,1002,99,2,33,5,5,7,1,4,6,99,2013,5,1,2,1,2020
175,2020,12,14,3,2,1,7,11,1101,99,1,43,7,7,9,1,4,999,5,9999,99,1,2,1,2020
176,2020,12,17,3,2,1,7,11,1101,99,1,24,3,3,5,1,4,999,5,9999,99,1,2,1,2020
177,2020,12,17,3,2,1,7,11,1101,99,1,29,4,4,6,1,4,999,3,2019,5,1,2,1,2020
178,2020,12,5,1,1,1,7,12,1201,99,1,999,16,12,18,1,4,6,5,9999,99,1,2,2,2020
179,2020,12,15,3,2,1,7,15,1501,99,1,23,3,3,5,1,4,54,1,2018,5,6,2,1,2020
180,2020,12,22,4,3,1,7,2,203,99,1,24,3,3,5,1,4,67,4,9999,99,1,2,1,2020
181,2020,12,22,4,3,1,7,2,203,99,2,22,3,3,5,1,4,27,1,9999,99,1,2,1,2020
182,2020,12,22,4,3,1,7,2,203,99,1,20,3,3,5,1,4,999,99,9999,99,1,2,1,2020
183,2020,12,22,4,3,1,7,2,203,99,2,999,16,12,18,1,4,999,99,9999,99,1,2,1,2020
184,2020,12,22,4,3,1,7,2,203,99,2,999,16,12,18,1,4,999,99,9999,99,1,1,2,2020
185,2020,12,18,4,3,1,7,18,1803,99,1,25,4,4,6,1,3,69,9,1992,3,1,2,1,2020
186,2020,12,0,1,1,1,7,14,1412,99,2,30,5,5,7,1,4,67,5,9999,99,1,2,1,2020
187,2020,13,14,3,2,1,1,1,101,1,1,26,4,4,6,1,4,6,1,2020,6,1,2,1,2020
188,2020,13,3,1,1,1,1,1,101,12,1,34,5,5,7,1,4,67,5,9999,99,1,2,1,2020
189,2020,13,12,3,2,1,1,1,117,99,2,20,3,3,5,1,4,32,1,9999,99,1,2,1,2020
190,2020,13,10,2,1,1,1,1,114,99,1,39,6,6,8,1,3,999,99,9999,99,1,1,2,2020
191,2020,13,10,2,1,1,1,1,114,99,1,32,5,5,7,1,3,999,99,9999,99,1,1,2,2020
192,2020,13,0,1,1,1,1,21,2105,99,2,38,6,6,8,1,1,999,4,9999,99,1,2,1,2020
193,2020,13,0,1,1,1,1,21,2105,99,1,7,1,1,2,2,1,999,4,9999,99,1,2,1,2020
194,2020,13,0,1,1,1,1,21,2105,99,2,42,7,7,9,1,1,999,4,9999,99,1,2,1,2020
195,2020,13,0,1,1,1,1,21,2105,99,2,38,6,6,8,1,1,999,4,9999,99,1,2,1,2020
196,2020,13,0,1,1,1,1,21,2105,99,1,38,6,6,8,1,1,999,4,9999,99,1,2,1,2020
197,2020,13,0,1,1,1,1,21,2105,99,1,64,11,11,13,1,1,999,4,9999,99,1,2,1,2020
198,2020,13,10,2,1,1,1,5,513,99,1,20,3,3,5,1,4,27,2,9999,99,1,2,1,2020
199,2020,13,7,2,1,1,1,6,601,99,1,30,5,5,7,1,4,32,99,9999,99,1,2,1,2020
200,2020,13,20,4,3,1,1,13,1308,99,1,17,2,2,4,2,4,27,1,9999,99,1,2,1,2020
201,2020,13,9,2,1,1,1,18,1801,99,2,65,12,11,14,1,4,77,5,9999,99,1,2,1,2020
202,2020,13,15,3,2,1,1,4,401,99,2,26,4,4,6,1,4,67,3,2018,5,1,2,1,2020
203,2020,13,15,3,2,1,1,3,308,99,1,17,2,2,4,2,1,48,4,2004,4,3,2,1,2020
204,2020,13,15,3,2,1,1,3,308,99,1,17,2,2,4,2,1,48,4,2004,4,3,2,1,2020
205,2020,14,4,1,1,1,2,1,101,9,2,37,6,6,8,1,9,28,6,2003,4,1,2,1,2020
206,2020,14,4,1,1,1,2,1,101,9,2,43,7,7,9,1,9,28,6,2003,4,1,2,1,2020
207,2020,14,4,1,1,1,2,1,101,9,1,6,1,1,2,2,9,28,6,2003,4,1,2,1,2020
208,2020,14,21,4,3,1,2,1,101,7,1,16,2,2,4,2,4,999,99,9999,99,1,2,1,2020
209,2020,14,7,2,1,1,2,21,2101,99,1,24,3,3,5,1,4,32,1,9999,99,1,2,1,2020
210,2020,14,7,2,1,1,2,21,2101,99,2,1,1,1,1,2,4,32,1,9999,99,1,2,2,2020
211,2020,14,7,2,1,1,2,21,2101,99,2,999,16,12,18,1,4,32,1,9999,99,1,2,2,2020
212,2020,14,7,2,1,1,2,20,2007,99,1,32,5,5,7,1,4,999,99,9999,99,2,2,1,2020
213,2020,14,8,2,1,1,2,16,1610,99,1,38,6,6,8,1,1,69,3,9999,99,7,2,1,2020
214,2020,14,8,2,1,1,2,16,1610,99,1,40,7,7,9,1,1,69,3,9999,99,7,2,1,2020
215,2020,14,8,2,1,1,2,16,1610,99,1,48,8,8,10,1,1,69,3,9999,99,7,2,1,2020
216,2020,15,6,2,1,1,3,18,1801,99,1,38,6,6,8,1,4,67,4,2019,5,2,1,2,2020
217,2020,15,8,2,1,1,3,5,501,99,2,42,7,7,9,1,4,999,99,9999,99,2,2,2,2020
218,2020,15,8,2,1,1,3,5,501,99,2,11,1,1,3,2,4,999,99,9999,99,2,2,2,2020
219,2020,15,9,2,1,1,3,1,101,1,1,37,6,6,8,1,4,67,3,2017,5,1,2,1,2020
220,2020,15,2,1,1,1,3,1,113,99,1,31,5,5,7,1,3,56,4,2019,5,2,2,1,2020
221,2020,15,2,1,1,1,3,1,113,99,1,45,8,8,10,1,3,56,4,2019,5,2,2,1,2020
222,2020,15,2,1,1,1,3,1,113,99,1,27,4,4,6,1,3,56,4,2019,5,2,2,1,2020
223,2020,15,12,3,2,1,3,1,101,7,1,20,3,3,5,1,4,6,5,9999,99,1,2,1,2020
224,2020,15,8,2,1,1,3,5,511,99,2,999,16,12,18,1,4,32,1,2014,5,1,2,1,2020
225,2020,15,14,3,2,1,3,6,608,99,1,999,16,12,18,1,5,17,2,1989,2,3,1,2,2020
226,2020,15,9,2,1,1,3,12,1215,99,1,22,3,3,5,1,4,32,1,9999,99,6,2,1,2020
227,2020,15,9,2,1,1,3,12,1215,99,1,999,16,12,18,1,4,32,1,9999,99,6,1,2,2020
228,2020,15,15,3,2,1,3,1,108,99,1,21,3,3,5,1,4,2,1,2018,5,1,2,1,2020
229,2020,15,17,3,2,1,3,1,108,99,2,58,10,10,12,1,2,48,4,2020,6,1,2,1,2020
230,2020,15,17,3,2,1,3,1,108,99,1,20,3,3,5,1,4,18,2,2019,5,1,2,1,2020
231,2020,15,3,1,1,1,3,2,201,99,1,32,5,5,7,1,1,69,2,9999,99,1,2,1,2020
232,2020,15,3,1,1,1,3,2,201,99,1,44,7,7,9,1,6,19,99,9999,99,1,2,1,2020
233,2020,15,19,4,3,1,3,18,1803,99,1,999,16,12,18,1,4,999,4,9999,99,1,1,2,2020
234,2020,15,9,2,1,1,3,1,115,99,2,34,5,5,7,1,4,18,5,9999,99,1,2,1,2020
235,2020,16,7,2,1,1,4,1,101,12,1,38,6,6,8,1,4,999,99,9999,99,1,2,1,2020
236,2020,16,0,1,1,1,4,1,115,99,1,18,2,2,4,1,4,32,5,9999,99,1,2,1,2020
237,2020,16,0,1,1,1,4,1,115,99,1,22,3,3,5,1,4,32,5,9999,99,1,2,1,2020
238,2020,16,0,1,1,1,4,1,115,99,1,12,1,1,3,2,4,32,5,9999,99,1,2,1,2020
239,2020,16,6,2,1,1,4,1,117,99,1,54,9,9,11,1,4,27,4,9999,99,1,2,1,2020
240,2020,16,11,2,1,1,4,1,114,99,1,999,16,12,18,1,1,10,6,9999,99,1,2,1,2020
241,2020,16,5,1,1,1,4,1,108,99,1,39,6,6,8,1,4,32,5,9999,99,1,2,1,2020
242,2020,16,12,3,2,1,4,22,2214,99,1,49,8,8,10,1,3,69,2,9999,99,2,2,1,2020
243,2020,16,12,3,2,1,4,22,2214,99,1,50,9,9,11,1,3,69,2,9999,99,2,2,1,2020
244,2020,16,5,1,1,1,4,5,511,99,1,19,2,2,4,1,4,168,5,2018,5,2,1,2,2020
245,2020,16,5,1,1,1,4,5,511,99,1,32,5,5,7,1,4,168,5,2018,5,2,2,1,2020
246,2020,16,18,4,3,1,4,16,1602,99,1,999,16,12,18,1,1,48,4,9999,99,1,2,1,2020
